srcStateName,srcDistrictName,Court_Efficiency_Index
Haryana,Karnal,0.548223376
Haryana,Sirsa,0.496631793
Haryana,Ambala,0.477532917
Haryana,Bhiwani,0.496857256
Haryana,Faridabad,0.475378662
Haryana,Gurugram,0.454175457
Haryana,Hisar,0.515986925
Haryana,Jhajjar,0.469761778
Haryana,Jind,0.481675779
Haryana,Kurukshetra,0.503239318
Haryana,Narnaul,0.479316003
Haryana,Rohtak,0.503951921
Haryana,Sonipat,0.468568102
Haryana,Panchkula,0.490451754
Haryana,Fatehabad,0.562127025
Haryana,Kaithal,0.503545998
Haryana,Rewari,0.481114748
Haryana,Panipat,0.507195271
Haryana,Nuh,0.490667682
Haryana,Yamunanagar,0.499213122
Haryana,Palwal,0.519483093
Mizoram,Aizawl,0.506644888
Mizoram,Lunglei,0.566497748
Mizoram,Champhai,0.569259789
Punjab,Ludhiana,0.498727125
Punjab,Jalandhar,0.559037064
Punjab,Rupnagar,0.517144621
Punjab,Fatehgarh Sahib,0.514632857
Punjab,Patiala,0.492888564
Punjab,Firozpur,0.526115981
Punjab,Amritsar,0.506162578
Punjab,Faridkot,0.533588007
Punjab,Gurdaspur,0.537662402
Punjab,Kapurthala,0.558499077
Punjab,Moga,0.53797222
Punjab,Mansa,0.529217271
Punjab,Sri Muktsar Sahib,0.564884207
Punjab,Sbsnagar,0.518007626
Punjab,Barnala,0.53831344
Punjab,Bathinda,0.529602249
Punjab,Hoshiarpur,0.526135142
Punjab,Sangrur,0.514561428
Punjab,Pathankot,0.473011834
Punjab,Tarn Taran,0.492075922
Punjab,Mohali,0.482002867
Punjab,Fazilka,0.542017076
Sikkim,South District,0.635173943
Sikkim,North District,0.733246583
Sikkim,West District,0.675472337
Sikkim,East District,0.614758102
Sikkim,Pakyong,0.604810511
Sikkim,Soreng,0.67057244
Manipur,Imphal East,0.500605614
Manipur,Imphal West,0.465811399
Manipur,Bishnupur,0.475231256
Manipur,Thoubal,0.526760962
Manipur,Senapati,0.513264054
Manipur,Churachandpur,0.500571537
Manipur,Ukhrul,0.453415564
Manipur,Chandel,0.57055384
Manipur,Tamenglong,0.381183509
Delhi,North East Delhi,0.449521086
Delhi,Shahdara,0.421122366
Delhi,East Godavari,0.436821229
Delhi,North Goa,0.417745421
Delhi,North West Delhi,0.431868277
Delhi,South West Khasi Hills,0.487698057
Delhi,New Delhi,0.491632589
Delhi,Central Delhi,0.426122251
