State_Name,District_Name,Court_Efficiency_Index_PCA,Total_Population,Pending cases,Cases_per_Capita,Judicial_Efficiency_Index_per_Capita
HARYANA,Karnal,0.887635434,1505324,73135,0.0485842250571969,0.0431250796941987
HARYANA,Sirsa,0.777372445,1295189,41227,0.0318308756482644,0.0247444456291823
HARYANA,Ambala,0.774442135,1128350,63984,0.0567058093676607,0.0439153680735941
HARYANA,Bhiwani,0.803324851,1634445,65710,0.0402032494210573,0.0322962693508866
HARYANA,Faridabad,0.761611914,1809733,123392,0.0681824335413014,0.0519285537105683
HARYANA,Hisar,0.813595356,1743931,74075,0.0424758777726871,0.0345581768978818
HARYANA,Jhajjar,0.756053971,958405,42127,0.0439553216020367,0.0332325954438019
HARYANA,Jind,0.786611521,1334152,37605,0.0281864435236764,0.0221717812117397
HARYANA,Kurukshetra,0.813929347,964655,43767,0.0453706247311214,0.0369284829603837
HARYANA,Rohtak,0.795333306,1061204,54647,0.0514952827166124,0.040955913446408
HARYANA,Sonipat,0.757093273,1450001,64559,0.0445234175700568,0.03370837993326
HARYANA,Panchkula,0.792325104,561293,28529,0.0508272862836343,0.0402717348907183
HARYANA,Fatehabad,0.910629298,942011,28591,0.0303510256249661,0.0276385331584429
HARYANA,Kaithal,0.826555718,1074304,39959,0.0371952445490289,0.0307439420644082
HARYANA,Rewari,0.768335063,900332,51803,0.0575376638839894,0.0442082046051778
HARYANA,Panipat,0.822213227,1205437,56144,0.0465756402035112,0.0382951074313199
HARYANA,Yamunanagar,0.813106167,1214205,60260,0.0496291812338114,0.0403537933243727
MIZORAM,Aizawl,0.836078903,400309,4566,0.0114061887192144,0.0095364737517717
MIZORAM,Lunglei,0.929688614,161428,459,0.0028433728968952,0.0026434514075996
MIZORAM,Champhai,0.940324064,125745,379,0.0030140363433933,0.0028341709034633
PUNJAB,Ludhiana,0.815661119,3498739,142056,0.0406020569125047,0.0331175191749553
PUNJAB,Jalandhar,0.90236152,2193590,74711,0.0340587803554903,0.0307333328109263
PUNJAB,Rupnagar,0.841914663,684627,23952,0.0349854738419606,0.0294547834195496
PUNJAB,Fatehgarh Sahib,0.830627982,600163,18947,0.0315697568827135,0.0262227234517189
PUNJAB,Patiala,0.801864417,1895686,73772,0.0389157276046771,0.0312051372278552
PUNJAB,Firozpur,0.84647755,2029074,26310,0.0129665059036782,0.010975856149406
PUNJAB,Faridkot,0.863148038,617508,16478,0.0266846745305323,0.0230328244656976
PUNJAB,Gurdaspur,0.868572856,2298323,35328,0.0153712076152916,0.0133510136985828
PUNJAB,Moga,0.863163583,995746,20466,0.0205534343095528,0.0177409760015887
PUNJAB,Mansa,0.85281517,769751,19307,0.0250821369507801,0.0213904268876428
PUNJAB,Barnala,0.856490629,595527,14914,0.0250433649523867,0.0214494074003462
PUNJAB,Bathinda,0.844026876,1388525,49085,0.0353504618209971,0.0298367398559334
PUNJAB,Hoshiarpur,0.851924647,1586625,38897,0.0245155597573465,0.0208854095922848
PUNJAB,Sangrur,0.830438305,1655169,51152,0.0309043970736522,0.0256641951228907
PUNJAB,Tarn Taran,0.789698031,1119627,22503,0.0200986578565897,0.0158718705350916
SIKKIM,South District,0.885676554,146850,409,0.0027851549199863,0.0024667464118896
SIKKIM,West District,0.939597811,136435,110,0.0008062447319236,0.0007575457852457
SIKKIM,East District,0.90832864,283583,1094,0.0038577770881893,0.0035041294159381
MANIPUR,Imphal East,0.754781336,456113,2684,0.005884506690228,0.0044415158213512
MANIPUR,Imphal West,0.710715237,517992,6706,0.0129461458864229,0.0092010231419056
MANIPUR,Bishnupur,0.714161797,237399,1090,0.0045914262486362,0.003279021220519
MANIPUR,Thoubal,0.773991337,422168,1452,0.0034393890583843,0.002662057335762
MANIPUR,Senapati,0.829016249,479148,395,0.000824379941062,0.0006834243664901
MANIPUR,Churachandpur,0.826862306,274143,135,0.0004924437246254,0.000407183153719
MANIPUR,Ukhrul,0.727804831,183998,131,0.000711964260481,0.0005181710282774
MANIPUR,Chandel,0.905213827,144182,99,0.0006866321732255,0.0006215489372667
BIHAR,Patna,0.441031238,5838465,458624,0.0785521536910814,0.0346439535899439
BIHAR,Samastipur,0.43136475,4261566,120552,0.0282881926503074,0.0122025291505517
BIHAR,Saran,0.410208436,3951862,167672,0.0424286070718056,0.0174045725485839
BIHAR,Katihar,0.416833208,3071029,74680,0.0243175821524316,0.0101363757794016
BIHAR,Begusarai,0.423949001,2970541,95423,0.032123104848578,0.0136185582095729
BIHAR,Banka,0.487070034,2034763,52945,0.0260202293829797,0.0126736740102557
BIHAR,Purnia,0.455847681,3264619,78944,0.0241816885829556,0.0110231666632044
BIHAR,Munger,0.44463933,1367765,58061,0.0424495435984982,0.018874736624442
BIHAR,Madhepura,0.468342823,2001762,54239,0.0270956287510703,0.0126900432602362
BIHAR,Rohtas,0.506163388,2959918,103903,0.0351033373221825,0.0177680241491027
BIHAR,Khagaria,0.503785536,1666886,51295,0.0307729502797431,0.0155029672509817
BIHAR,Jamui,0.58584428,1760405,53213,0.0302277032841874,0.0177087270665784
BIHAR,Aurangabad,0.532123351,2540073,63354,0.0249418028536975,0.0132721157144908
BIHAR,Darbhanga,0.448739392,3937385,97953,0.0248776789671317,0.0111635945340818
BIHAR,Madhubani,0.435989131,4487379,102346,0.0228075230552177,0.0099438321571068
BIHAR,Lakhisarai,0.418802741,1000912,36179,0.0361460348162475,0.0151380584573259
BIHAR,Sheikhpura,0.543086527,636342,18128,0.0284878257289319,0.0154713543369068
BIHAR,Saharsa,0.503581778,1900661,65369,0.0343927717778183,0.0173195731622219
BIHAR,Supaul,0.558237567,2229076,58930,0.0264369631183503,0.0147581059700566
BIHAR,Gopalganj,0.449602318,2562012,99235,0.0387332299770649,0.0174145499813154
BIHAR,Araria,0.472100003,2811569,77827,0.0276809852434708,0.0130681932164855
BIHAR,Kishanganj,0.480761468,1690400,26588,0.0157288215806909,0.007561811353043
BIHAR,Buxar,0.500867861,1706352,65027,0.038108784119572,0.0190874651872808
BIHAR,Nawada,0.480920904,2219146,84482,0.0380695997469296,0.0183084663252115
BIHAR,Siwan,0.398960044,3330464,106638,0.0320189619224228,0.0127742864574041
BIHAR,Nalanda,0.450949105,2877653,122969,0.0427323933775198,0.0192701345481004
BIHAR,Sitamarhi,0.49525404,3423574,82951,0.0242293579750284,0.011999687423739
BIHAR,Bhojpur,0.473250577,2728407,120819,0.0442818831647917,0.0209564267583842
BIHAR,Bhagalpur,0.500007903,3037766,98731,0.0325011867273516,0.0162508502205545
BIHAR,Gaya,0.421129902,4391418,148205,0.0337487800068223,0.0142126204168926
BIHAR,Sheohar,0.607761924,656246,12750,0.0194286898510619,0.0118080179246806
BIHAR,Muzaffarpur,0.51071896,4801062,194923,0.0405999755887343,0.0207351773087037
BIHAR,Vaishali,0.504917077,3495021,109046,0.0312003847759426,0.0157536070823442
RAJASTHAN,Rajsamand,0.677773489,1156597,38032,0.0328826721840018,0.0222870034537941
RAJASTHAN,Alwar,0.616562858,3674179,140532,0.038248544776942,0.0235826320820123
RAJASTHAN,Dausa,0.656064578,1634409,38640,0.0236415731925117,0.0155103987398013
RAJASTHAN,Jaipur,0.705437969,6626178,306813,0.0463031629998469,0.0326640092648879
RAJASTHAN,Tonk,0.697081536,1421326,40075,0.0281955019467736,0.0196545638053479
RAJASTHAN,Bikaner,0.600450775,2363937,62706,0.0265260876241625,0.0159276098716463
RAJASTHAN,Nagaur,0.668736806,3307743,49093,0.0148418423075795,0.0099252862199263
RAJASTHAN,Udaipur,0.649351921,3068420,121684,0.039656891820546,0.0257512788845607
RAJASTHAN,Bundi,0.702682387,1110906,29514,0.026567504361305,0.0186685173812347
RAJASTHAN,Hanumangarh,0.670398594,1774692,45781,0.0257965889292339,0.0172939969481543
RAJASTHAN,Baran,0.632735721,1222755,33691,0.0275533528793585,0.0174339906000883
RAJASTHAN,Bharatpur,0.660472387,2548462,71984,0.0282460558564341,0.0186557399348344
RAJASTHAN,Ajmer,0.650571507,2583052,102238,0.0395803104234835,0.0257498221997334
